,title,rating,release_year,type,listed_in,Date
0,One Day,TV-PG,2016,Movie,"Dramas, International Movies, Romantic Movies",4/6/2019
1,One Day,PG-13,2011,Movie,"Dramas, Romantic Movies",4/6/2019
2,Man Up,R,2015,Movie,"Comedies, International Movies, Romantic Movies",12/8/2018
3,The Eighties,TV-PG,2016,TV Show,Docuseries,3/23/2019
4,The Eighties,TV-PG,2016,TV Show,Docuseries,2/4/2019
5,The Seventies,TV-PG,2015,TV Show,Docuseries,4/30/2018
6,The Seventies,TV-PG,2015,TV Show,Docuseries,4/24/2018
7,Paul Hollywood's Big Continental Road Trip,TV-14,2017,TV Show,"British TV Shows, Docuseries, International TV Shows",8/3/2018
8,The Politician,TV-14,2019,TV Show,"TV Comedies, TV Dramas, Teen TV Shows",6/20/2020
9,The Politician,TV-14,2019,TV Show,"TV Comedies, TV Dramas, Teen TV Shows",6/20/2020
10,The Politician,TV-14,2019,TV Show,"TV Comedies, TV Dramas, Teen TV Shows",9/28/2019
11,The Politician,TV-14,2019,TV Show,"TV Comedies, TV Dramas, Teen TV Shows",9/28/2019
12,The Politician,TV-14,2019,TV Show,"TV Comedies, TV Dramas, Teen TV Shows",9/28/2019
13,The Politician,TV-14,2019,TV Show,"TV Comedies, TV Dramas, Teen TV Shows",9/28/2019
14,The Politician,TV-14,2019,TV Show,"TV Comedies, TV Dramas, Teen TV Shows",9/28/2019
15,The Politician,TV-14,2019,TV Show,"TV Comedies, TV Dramas, Teen TV Shows",9/28/2019
16,The Politician,TV-14,2019,TV Show,"TV Comedies, TV Dramas, Teen TV Shows",9/28/2019
17,The Politician,TV-14,2019,TV Show,"TV Comedies, TV Dramas, Teen TV Shows",9/27/2019
18,Jerry Before Seinfeld,TV-14,2017,Movie,Stand-Up Comedy,8/3/2018
19,Scott Pilgrim vs. the World,PG-13,2010,Movie,"Action & Adventure, Comedies, Cult Movies",7/15/2019
20,How to Live Mortgage Free with Sarah Beeny,TV-14,2018,TV Show,"British TV Shows, International TV Shows, Reality TV",7/8/2019
21,Tall Girl,TV-PG,2019,Movie,"Children & Family Movies, Comedies, Romantic Movies",9/22/2019
22,Reversing Roe,TV-14,2018,Movie,Documentaries,9/18/2018
23,Eat Pray Love,PG-13,2010,Movie,"Dramas, Romantic Movies",9/13/2019
24,Just Friends,PG-13,2005,Movie,"Comedies, Romantic Movies",8/11/2018
25,13TH,TV-MA,2016,Movie,Documentaries,3/13/2020
26,Truth or Dare,TV-MA,2017,Movie,Horror Movies,4/14/2020
27,Terrorism Close Calls,TV-MA,2018,TV Show,"Crime TV Shows, Docuseries, International TV Shows",11/10/2018
28,Bodyguard,TV-MA,2018,TV Show,"British TV Shows, Crime TV Shows, International TV Shows",1/1/2019
29,Bodyguard,TV-MA,2018,TV Show,"British TV Shows, Crime TV Shows, International TV Shows",1/1/2019
30,Bodyguard,TV-MA,2018,TV Show,"British TV Shows, Crime TV Shows, International TV Shows",1/1/2019
31,Bodyguard,TV-MA,2018,TV Show,"British TV Shows, Crime TV Shows, International TV Shows",1/1/2019
32,Bodyguard,TV-MA,2018,TV Show,"British TV Shows, Crime TV Shows, International TV Shows",12/31/2018
33,Bodyguard,TV-MA,2018,TV Show,"British TV Shows, Crime TV Shows, International TV Shows",12/30/2018
34,While We're Young,R,2015,Movie,"Comedies, Dramas, Independent Movies",1/10/2020
35,Men in Black,PG-13,1997,Movie,"Action & Adventure, Comedies, Sci-Fi & Fantasy",12/28/2019
36,Living with Yourself,TV-MA,2019,TV Show,"TV Comedies, TV Dramas",12/26/2019
37,League of Legends Origins,TV-MA,2019,Movie,Documentaries,10/27/2019
38,Salt Fat Acid Heat,TV-PG,2018,TV Show,Docuseries,11/5/2018
39,Salt Fat Acid Heat,TV-PG,2018,TV Show,Docuseries,11/5/2018
40,Salt Fat Acid Heat,TV-PG,2018,TV Show,Docuseries,11/4/2018
41,Salt Fat Acid Heat,TV-PG,2018,TV Show,Docuseries,11/4/2018
42,Limitless,TV-PG,2017,Movie,"Documentaries, International Movies, Sports Movies",6/8/2019
43,Limitless,PG-13,2011,Movie,"Action & Adventure, Sci-Fi & Fantasy, Thrillers",6/8/2019
44,The Rugrats Movie,G,1998,Movie,"Children & Family Movies, Comedies",5/11/2018
